Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00020,9.40,-10.46,-0.09,2.81,0.09,13290400.00,620775.00,42.80,2071325.00,33.85,33.95,0.00,0.00,33.95,33.95,42000,13.60,BANKNIFTY,1007.75,30.51,938.80,977.24,1006.60,1008.50,736875.00,6.20,42875.00,388225.00,0.48,0.91,-10.46,9.40,0.00020
0.00030,10.72,-11.64,-0.11,20.27,0.11,5847325.00,254075.00,71.00,612025.00,41.25,41.35,0.00,0.00,41.25,41.25,42100,13.30,BANKNIFTY,911.20,33.96,838.80,877.24,915.50,917.45,30200.00,11.50,3125.00,56750.00,0.48,0.89,-11.64,10.72,0.00030
0.00030,12.23,-12.98,-0.14,10.92,0.13,9029775.00,376050.00,65.40,950850.00,50.75,50.85,0.00,0.00,50.80,50.80,42200,13.00,BANKNIFTY,830.00,52.76,738.80,777.24,825.00,826.85,87050.00,36.70,23375.00,149850.00,0.47,0.86,-12.98,12.23,0.00030
0.00040,13.84,-14.36,-0.17,9.01,0.15,10118475.00,569250.00,139.10,978475.00,62.35,62.50,0.00,0.00,62.55,62.55,42300,12.70,BANKNIFTY,739.80,62.56,638.80,677.24,737.20,738.90,108625.00,29.10,24500.00,303500.00,0.47,0.83,-14.36,13.84,0.00040
0.00040,15.52,-15.79,-0.20,10.48,0.18,11824550.00,699625.00,97.40,1417950.00,77.35,77.50,0.00,0.00,77.35,77.35,42400,12.50,BANKNIFTY,654.55,77.31,538.80,577.24,652.95,654.35,135300.00,175.40,86175.00,678925.00,0.46,0.80,-15.79,15.52,0.00040
0.00050,17.25,-17.27,-0.24,2.73,0.21,20190275.00,1025200.00,88.70,2180700.00,96.35,96.50,0.00,0.00,96.50,96.50,42500,12.30,BANKNIFTY,572.40,95.16,438.80,477.24,572.50,573.70,797575.00,92.40,383100.00,4342100.00,0.44,0.76,-17.27,17.25,0.00050
0.00050,18.86,-18.61,-0.28,3.25,0.23,13726125.00,745775.00,183.20,1152750.00,119.55,119.75,0.00,0.00,119.75,119.75,42600,12.10,BANKNIFTY,495.75,118.51,338.80,377.24,495.80,496.95,354975.00,162.50,219725.00,3920875.00,0.43,0.72,-18.61,18.86,0.00050
0.00050,20.28,-19.76,-0.33,1.38,0.26,18419300.00,801775.00,126.00,1437950.00,148.00,148.35,0.00,0.00,148.30,148.30,42700,11.90,BANKNIFTY,425.95,148.71,238.80,277.24,425.25,425.85,1045775.00,310.40,790975.00,10052975.00,0.41,0.67,-19.76,20.28,0.00050
0.00060,21.36,-20.55,-0.39,1.15,0.3,41450800.00,1814825.00,236.30,2582875.00,182.00,182.20,0.00,0.00,182.00,182.00,42800,11.80,BANKNIFTY,359.40,182.16,138.80,177.24,358.65,359.35,2249375.00,317.50,1710625.00,29173225.00,0.39,0.61,-20.55,21.36,0.00060
0.00060,22.03,-20.97,-0.45,0.73,0.32,45602450.00,2170975.00,357.90,2777625.00,221.40,221.75,0.00,0.00,221.85,221.85,42900,11.70,BANKNIFTY,299.00,221.76,38.80,77.24,298.60,298.90,3783975.00,451.70,3098150.00,45549900.00,0.37,0.55,-20.97,22.03,0.00060
